"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Warm Up",,"",0,"normal",,,,452,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Deadlift (Barbell)",,"6 a 8 reps",0,"warmup",42,10,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Deadlift (Barbell)",,"6 a 8 reps",1,"normal",66,7,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Deadlift (Barbell)",,"6 a 8 reps",2,"normal",66,7,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Deadlift (Barbell)",,"6 a 8 reps",3,"normal",66,7,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Deadlift (Barbell)",,"6 a 8 reps",4,"normal",66,7,,,8
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Bent Over Row (Barbell)",,"Entre 6 et 8 reps",0,"warmup",26,12,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Bent Over Row (Barbell)",,"Entre 6 et 8 reps",1,"normal",44,7,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Bent Over Row (Barbell)",,"Entre 6 et 8 reps",2,"normal",44,7,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Bent Over Row (Barbell)",,"Entre 6 et 8 reps",3,"normal",44,7,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Bent Over Row (Barbell)",,"Entre 6 et 8 reps",4,"normal",44,7,,,8
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Lateral Raise (Dumbbell)",,"10 a 14 reps",0,"normal",24,11,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Lateral Raise (Dumbbell)",,"10 a 14 reps",1,"normal",24,10,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","Lateral Raise (Dumbbell)",,"10 a 14 reps",2,"normal",24,10,,,9.5
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","EZ Bar Biceps Curl",,"8 a 12 rep",0,"normal",32,11,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","EZ Bar Biceps Curl",,"8 a 12 rep",1,"normal",32,11,,,
"Full Body B","10 juin 2026, 18:16","10 juin 2026, 19:14","","EZ Bar Biceps Curl",,"8 a 12 rep",2,"normal",32,9,,,10
